Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
116,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,81205.4375,43290.8164063,183491.890625
117,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,38775.25,19379.9785156,68673.9921875
118,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,29142.0507813,17193.65625,52267.2773438
119,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,21902.0917969,14995.3554688,33160.8671875
120,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,15134.5800781,12213.4824219,21038.8457031
121,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,61031.015625,39743.2695313,97044.5859375
122,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,35651.1757813,23794.1679688,79437.5
123,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,60014.2578125,37755.8515625,97044.5859375
124,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,41470.4921875,29717.6308594,67435.4296875
125,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,21902.0917969,15253.9804688,35665.0234375
126,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,66379.09375,42556.8359375,83895.375
127,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,32778.8085938,22604.3085938,50398.9570313
128,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,82581.2109375,47155.0195313,118554.234375
129,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,86849.96875,47968.3046875,144831.421875
130,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,54259.7226563,39069.4375,62700.5664063
131,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,35651.1757813,27752.9042969,42784.2695313
132,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,72195.8203125,47155.0195313,98826.96875
133,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,53355.7734375,35259.6953125,73859.9296875
134,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,56113.8242188,41835.3007813,60459.3046875
135,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,21178.4082031,14741.1142578,38358.2851563
136,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,15134.5800781,11602.7304688,23466.4199219
137,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,6871.49804688,5657.83056641,8468.64453125
138,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,6644.45166016,5467.60400391,8165.92919922
139,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,7729.02050781,6058.36816406,9619.29003906
140,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,8128.546875,6712.96337891,10159.1064453
141,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,28179.1445313,18098.7070313,48597.421875
142,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,9778.46191406,8241.97949219,12638.7880859
143,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25477.1542969,16615.5742188,35021.7929688
144,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,8266.25976563,6377.27246094,11751.3779297
145,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,7729.02050781,6058.36816406,10729.2158203
146,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,12371.3359375,10293.7871094,20286.8007813
147,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,58031.28125,33496.484375,114316.453125
148,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,50733.2851563,30230.171875,76597.9609375
149,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,61031.015625,34661.8789063,91888.0078125
150,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,43614.171875,29717.6308594,61569.7382813
151,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,56113.8242188,32928.5625,88603.421875
152,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,61031.015625,37115.7148438,100642.085938
153,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,38129.2695313,24204.546875,60459.3046875
154,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,44353.0820313,25478.640625,79437.5
155,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,61031.015625,38407.0273438,80896.4921875
156,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25052.7148438,19051.3984375,31398.8261719
157,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,49056.9648438,31281.9257813,112254.710938
158,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25477.1542969,18098.7070313,36320.0703125
159,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,23821.3476563,17193.65625,33160.8671875
160,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,53355.7734375,32928.5625,91888.0078125
161,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,55178.984375,40428.7226563,65024.9140625
162,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,46645.765625,35259.6953125,58298.15625
163,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,45104.5078125,25918.0722656,78004.8125
164,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,40779.609375,29213.7792969,47720.9492188
165,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,45104.5078125,30751.5527344,69935.296875
166,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,42173.0820313,30751.5527344,48597.421875
167,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,79852.578125,55948.9960938,183491.890625
168,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,45104.5078125,26365.0820313,97044.5859375
169,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,46645.765625,31821.4472656,67435.4296875
170,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,26794.1113281,19714.2265625,33769.921875
171,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,46645.765625,29717.6308594,55200.4179688
172,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,19147.6914063,14995.3554688,23897.4199219
173,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,44353.0820313,29717.6308594,61569.7382813
174,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,58031.28125,39069.4375,68673.9921875
175,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,32778.8085938,20400.1132813,55200.4179688
176,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,53355.7734375,31821.4472656,106289.921875
177,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,82581.2109375,56913.9492188,110230.15625
178,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,42173.0820313,31821.4472656,59368.8984375
179,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36869.4101563,26365.0820313,56214.2617188
180,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25477.1542969,17490.1953125,45185.2421875
181,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,55178.984375,29213.7792969,104372.945313
182,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,44353.0820313,26819.8027344,76597.9609375
183,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,51592.8007813,26365.0820313,98826.96875
184,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,42173.0820313,26365.0820313,57246.7304688
185,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,28179.1445313,15784.6904297,39062.796875
186,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,56113.8242188,27282.3652344,95294.3515625
187,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,61031.015625,29717.6308594,116416.0625
188,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,34473.1992188,20400.1132813,61569.7382813
189,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,79852.578125,38407.0273438,170608.34375
190,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,85403.078125,52250.03125,208423.171875
191,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,56113.8242188,35259.6953125,104372.945313
192,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,57064.4960938,34074.1992188,118554.234375
193,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,65273.2421875,37755.8515625,134662.34375
194,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36255.1757813,24622.0039063,65024.9140625
195,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,59014.4414063,33496.484375,120731.671875
196,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,59014.4414063,31281.9257813,129848.773438
197,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,50733.2851563,27752.9042969,112254.710938
198,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,58031.28125,34661.8789063,104372.945313
199,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,30137.859375,20400.1132813,42012.640625
200,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,11567.2998047,8675.82519531,18862.4003906
201,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,22650.5058594,13533.1269531,45185.2421875
202,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,22650.5058594,15517.0664063,39062.796875
203,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,42173.0820313,21844.3105469,85436.25
204,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,43614.171875,22604.3085938,88603.421875
205,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,24224.9277344,16056.9296875,46015.140625
206,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,11567.2998047,8825.45800781,17221.7050781
207,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,37494.046875,25046.6601563,97044.5859375
208,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,17604.9863281,12424.1289063,32562.7988281
209,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25908.7871094,16902.1445313,55200.4179688
210,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,45868.6640625,22604.3085938,100642.085938
211,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,18206.5644531,11802.84375,31975.515625
212,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25052.7148438,15517.0664063,55200.4179688
213,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,23034.2480469,15517.0664063,38358.2851563
214,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,69810.34375,47155.0195313,93575.6796875
215,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,97688.3359375,59909.8242188,220119.484375
216,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,97688.3359375,60943.0898438,220119.484375
217,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,96060.8828125,65257.46875,212251.203125
218,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,35057.2421875,26365.0820313,42012.640625
219,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,77214.109375,41835.3007813,147491.5
220,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,47436.0351563,29213.7792969,66219.203125
221,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,70993.0625,45569.5859375,155768.4375
222,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,52466.8828125,32928.5625,116416.0625
223,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,29635.7734375,17490.1953125,58298.15625
224,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,31695.7363281,17791.8496094,46015.140625
225,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,17311.6933594,12213.4824219,31975.515625
226,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,40779.609375,23390.7460938,80896.4921875
227,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,40779.609375,25918.0722656,72527.84375
228,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,30648.453125,17791.8496094,54204.8554688
229,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36255.1757813,22221.0605469,53227.25
230,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,55178.984375,31281.9257813,108242.109375
231,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,38129.2695313,23794.1679688,59368.8984375
232,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,58031.28125,35259.6953125,125207.265625
233,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,9944.12695313,7188.19775391,12410.8427734
234,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,10635.3369141,6487.26171875,12410.8427734
235,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,7600.2578125,6162.85693359,9108.15820313
236,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,12580.9296875,8825.45800781,24783.3105469
237,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,56113.8242188,29213.7792969,112254.710938
238,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,69810.34375,39069.4375,164509.859375
239,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,91339.390625,65257.46875,190294.046875
240,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,119507.859375,63063.3945313,236741.890625
241,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,91339.390625,42556.8359375,176932.890625
242,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,101026.429688,50493.2929688,220119.484375
243,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,60014.2578125,34661.8789063,116416.0625
