Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
125,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,30137.859375,14741.1142578,45185.2421875
126,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,23821.3476563,14995.3554688,44370.3085938
127,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,31695.7363281,17490.1953125,63852.1640625
128,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,29635.7734375,14995.3554688,69935.296875
129,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,6987.91455078,5106.12353516,9275.44433594
130,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,29635.7734375,20054.2382813,33769.921875
131,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,26794.1113281,15517.0664063,39062.796875
132,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,19801.984375,11602.7304688,38358.2851563
133,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,61031.015625,25046.6601563,98826.96875
134,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,32778.8085938,19379.9785156,68673.9921875
135,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,13010.8310547,9779.03222656,17538.0097656
136,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,10815.5205078,7566.57470703,15723.7216797
137,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,23424.4921875,13766.5332031,49489.9921875
138,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,45868.6640625,23390.7460938,79437.5
139,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,10815.5205078,7697.07568359,13593.2109375
140,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,13010.8310547,9779.03222656,18188.1542969
141,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,32778.8085938,19379.9785156,67435.4296875
142,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,44353.0820313,24622.0039063,102490.539063
143,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,14150.9560547,9947.69140625,23897.4199219
144,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,32778.8085938,17193.65625,72527.84375
145,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,17311.6933594,11406.0107422,28667.6835938
146,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,23424.4921875,12856.3837891,48597.421875
147,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,41470.4921875,20054.2382813,97044.5859375
148,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,40100.234375,22604.3085938,91888.0078125
149,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,31695.7363281,18728.3886719,59368.8984375
150,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,19147.6914063,13078.1181641,31398.8261719
151,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,16739.6835938,10471.3242188,33160.8671875
152,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,20478.6347656,11212.6259766,26654.8339844
153,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,21178.4082031,12424.1289063,29194.2128906
154,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,38129.2695313,20400.1132813,85436.25
155,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,38775.25,18728.3886719,90230.7734375
156,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,38129.2695313,18098.7070313,104372.945313
157,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,27248.0566406,16056.9296875,30276.4589844
158,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,38129.2695313,18410.8554688,47720.9492188
159,Aquatics,dec2015Rad25,Aquatics_Class_300_dec2015,30137.859375,14491.1845703,33160.8671875
